ALGORITHM,PARAM,TIMEEXEC,NCLUSTERS,NCLUSTERS_PREDEF,FILE_OUTPUT,Silhouette_euclidean
DBSCAN,eps=15.7501 min_samples=10,0:01:28.127414,2,NO,DIR: DBSCAN__min_samples10,0.47546771164083707
DBSCAN,eps=18.0001 min_samples=100,0:01:11.784570,2,NO,DIR: DBSCAN__min_samples100,0.4750142244570565
DBSCAN,eps=18.2501 min_samples=100,0:01:13.721602,2,NO,DIR: DBSCAN__min_samples100,0.4750142244570565
DBSCAN,eps=17.7501 min_samples=100,0:01:09.866447,2,NO,DIR: DBSCAN__min_samples100,0.4750141945665328
DBSCAN,eps=17.2501 min_samples=100,0:01:05.021521,2,NO,DIR: DBSCAN__min_samples100,0.4747769700152087
DBSCAN,eps=4.5001 min_samples=10,0:00:09.229678,122,NO,DIR: DBSCAN__min_samples10,-0.47367207023602437
DBSCAN,eps=13.2501 min_samples=10,0:01:08.818823,2,NO,DIR: DBSCAN__min_samples10,0.4722702295014465
DBSCAN,eps=13.0001 min_samples=10,0:01:06.968063,2,NO,DIR: DBSCAN__min_samples10,0.47226993909088505
DBSCAN,eps=17.0001 min_samples=100,0:01:03.128841,2,NO,DIR: DBSCAN__min_samples100,0.46962163171985166
DBSCAN,eps=16.7501 min_samples=100,0:01:01.263127,2,NO,DIR: DBSCAN__min_samples100,0.4678882050811109
DBSCAN,eps=13.7501 min_samples=10,0:01:12.553797,2,NO,DIR: DBSCAN__min_samples10,0.4659096806395105
DBSCAN,eps=13.5001 min_samples=10,0:01:10.677801,2,NO,DIR: DBSCAN__min_samples10,0.4659096595517929
DBSCAN,eps=16.5001 min_samples=100,0:00:59.396416,2,NO,DIR: DBSCAN__min_samples100,0.4653107943357762
DBSCAN,eps=16.2501 min_samples=100,0:00:57.553611,2,NO,DIR: DBSCAN__min_samples100,0.4647323392002719
DBSCAN,eps=12.5001 min_samples=10,0:01:03.283480,2,NO,DIR: DBSCAN__min_samples10,0.46233475890457254
DBSCAN,eps=12.7501 min_samples=10,0:01:05.104576,2,NO,DIR: DBSCAN__min_samples10,0.46233475890457254
DBSCAN,eps=12.2501 min_samples=10,0:01:01.475292,2,NO,DIR: DBSCAN__min_samples10,0.46233463275700404
DBSCAN,eps=16.0001 min_samples=100,0:00:55.746259,2,NO,DIR: DBSCAN__min_samples100,0.4612156775159093
DBSCAN,eps=14.2501 min_samples=10,0:01:16.367195,2,NO,DIR: DBSCAN__min_samples10,0.45875100139259123
DBSCAN,eps=14.5001 min_samples=10,0:01:18.287243,2,NO,DIR: DBSCAN__min_samples10,0.45875100139259123
DBSCAN,eps=14.0001 min_samples=10,0:01:14.434641,2,NO,DIR: DBSCAN__min_samples10,0.4587509794857475
DBSCAN,eps=15.7501 min_samples=100,0:00:53.936506,2,NO,DIR: DBSCAN__min_samples100,0.45565879736941944
DBSCAN,eps=15.5001 min_samples=100,0:00:52.139616,2,NO,DIR: DBSCAN__min_samples100,0.45484997449491843
DBSCAN,eps=12.0001 min_samples=10,0:00:59.673934,2,NO,DIR: DBSCAN__min_samples10,0.45024140843673094
DBSCAN,eps=11.7501 min_samples=10,0:00:57.886397,2,NO,DIR: DBSCAN__min_samples10,0.44902323587954873
DBSCAN,eps=11.2501 min_samples=10,0:00:54.321992,2,NO,DIR: DBSCAN__min_samples10,0.4465118401557649
DBSCAN,eps=15.2501 min_samples=100,0:00:50.344419,2,NO,DIR: DBSCAN__min_samples100,0.44621207619813186
DBSCAN,eps=11.5001 min_samples=10,0:00:56.095433,2,NO,DIR: DBSCAN__min_samples10,0.4460840820244024
DBSCAN,eps=15.0001 min_samples=100,0:00:48.593400,2,NO,DIR: DBSCAN__min_samples100,0.4436670474735092
DBSCAN,eps=14.7501 min_samples=100,0:00:46.846221,2,NO,DIR: DBSCAN__min_samples100,0.43844884553929975
DBSCAN,eps=14.5001 min_samples=100,0:00:45.115779,2,NO,DIR: DBSCAN__min_samples100,0.4375584126749404
DBSCAN,eps=11.0001 min_samples=10,0:00:52.571137,2,NO,DIR: DBSCAN__min_samples10,0.43640141072081245
DBSCAN,eps=10.7501 min_samples=10,0:00:50.815331,2,NO,DIR: DBSCAN__min_samples10,0.43513249955080724
DBSCAN,eps=10.5001 min_samples=10,0:00:49.085271,2,NO,DIR: DBSCAN__min_samples10,0.4305362337622755
DBSCAN,eps=10.2501 min_samples=10,0:00:47.369614,2,NO,DIR: DBSCAN__min_samples10,0.4294226103862584
DBSCAN,eps=10.0001 min_samples=10,0:00:45.627648,2,NO,DIR: DBSCAN__min_samples10,0.4260681431231707
DBSCAN,eps=14.2501 min_samples=100,0:00:43.354029,2,NO,DIR: DBSCAN__min_samples100,0.42395552465214764
DBSCAN,eps=14.0001 min_samples=100,0:00:41.650352,2,NO,DIR: DBSCAN__min_samples100,0.41669318270670636
DBSCAN,eps=9.7501 min_samples=10,0:00:43.934711,2,NO,DIR: DBSCAN__min_samples10,0.4113017995257591
DBSCAN,eps=13.7501 min_samples=100,0:00:39.947820,2,NO,DIR: DBSCAN__min_samples100,0.40585895660417093
DBSCAN,eps=9.5001 min_samples=10,0:00:42.239098,2,NO,DIR: DBSCAN__min_samples10,0.40340239102974274
DBSCAN,eps=13.5001 min_samples=100,0:00:38.277476,2,NO,DIR: DBSCAN__min_samples100,0.3955731189863346
DBSCAN,eps=13.2501 min_samples=100,0:00:36.614895,2,NO,DIR: DBSCAN__min_samples100,0.38790492724951836
DBSCAN,eps=13.0001 min_samples=100,0:00:34.953567,2,NO,DIR: DBSCAN__min_samples100,0.3784386784019439
DBSCAN,eps=4.7501 min_samples=10,0:00:10.865651,176,NO,DIR: DBSCAN__min_samples10,-0.37726186477134016
DBSCAN,eps=12.7501 min_samples=100,0:00:33.294952,2,NO,DIR: DBSCAN__min_samples100,0.36866488091955674
DBSCAN,eps=12.5001 min_samples=100,0:00:31.196433,2,NO,DIR: DBSCAN__min_samples100,0.35500256005943015
DBSCAN,eps=12.2501 min_samples=100,0:00:29.586821,2,NO,DIR: DBSCAN__min_samples100,0.3444803146859453
DBSCAN,eps=12.0001 min_samples=100,0:00:28.000253,2,NO,DIR: DBSCAN__min_samples100,0.3288247690950298
DBSCAN,eps=11.7501 min_samples=100,0:00:26.411080,2,NO,DIR: DBSCAN__min_samples100,0.31849276217284256
K-Means,n_clusters=2 random_state=0,0:00:01.578923,2,YES,DIR: kmeans,0.3107368478994521
Bisecting K-Means,n_clusters=2,0:00:24.420464,2,YES,DIR: BisectingKMeans,0.3107185079250369
DBSCAN,eps=8.2501 min_samples=100,0:00:04.671951,4,NO,DIR: DBSCAN__min_samples100,-0.30938975607153074
Gaussian mixtures,n_components=2,0:00:01.073592,2,YES,DIR: GaussianMixture,0.3071882480538952
DBSCAN,eps=3.5000999999999998 min_samples=10,0:00:02.657887,3,NO,DIR: DBSCAN__min_samples10,-0.306523344578479
DBSCAN,eps=11.5001 min_samples=100,0:00:24.856344,2,NO,kmeans_4_clusters.csv,0.3040862710050049
DBSCAN,eps=11.2501 min_samples=100,0:00:23.289853,2,NO,DIR: DBSCAN__min_samples100,0.29254375345355277
Mean-shift,iBandwidth_ 6  bandwidth: 18.37829213864885 bin_seeding=True,0:01:44.609600,2,NO,DIR: MEAN_SHIFT,0.2879539543758825
